disaster,state,county,year,amount,structure,type,amount_sum
1355,Oklahoma,Wagoner,2000,60900,Single Family,Owner Occupied - Principal Residence,749504
1323,Texas,NA,2000,49784,Single Family,Owner Occupied - Secondary Residence,1884120
1336,Vermont,NA,2000,70209,Single Family,Owner Occupied - Principal Residence,70209
1318,Virginia,NA,2000,47000,Non-residential - Private,Not Applicable,417000
1319,West Virginia,NA,2000,1,Single Family,Owner Occupied - Principal Residence,1882447
1332,Wisconsin,NA,2000,75000,Single Family,Rental,2660733
1332,Wisconsin,Sauk,2000,136253,Non-residential - Private,Not Applicable,136253
1362,Alabama,NA,2001,117500,Single Family,Owner Occupied - Principal Residence,117500
1381,Florida,NA,2001,100753,Single Family,Owner Occupied - Principal Residence,2098650
1368,Illinois,NA,2001,125000,Single Family,Owner Occupied - Principal Residence,527000
1367,Iowa,NA,2001,28820,Single Family,Owner Occupied - Principal Residence,1755984
1366,Kansas,NA,2001,13610,Manufactured Home,Owner Occupied - Principal Residence,174738
1388,Kentucky,NA,2001,1561221,Single Family,Owner Occupied - Principal Residence,2137221
1380,Louisiana,Ascension,2001,589688,Single Family,Owner Occupied - Principal Residence,971588
1380,Louisiana,Assumption,2001,79806,Single Family,Owner Occupied - Principal Residence,79806
1380,Louisiana,Lafayette,2001,79050,Single Family,Owner Occupied - Principal Residence,246350
1380,Louisiana,Lafourche,2001,678153,Single Family,Owner Occupied - Principal Residence,678153
1380,Louisiana,Livingston,2001,133543,Single Family,Not Applicable,415667
1380,Louisiana,St. Tammany,2001,103560,Single Family,Owner Occupied - Principal Residence,1070626
1380,Louisiana,Terrebonne,2001,80442,Single Family,Owner Occupied - Principal Residence,80442
1380,Louisiana,Vermilion,2001,75000,Single Family,Owner Occupied - Principal Residence,192000
1370,Minnesota,NA,2001,76000,Single Family,Owner Occupied - Principal Residence,3443754
1360,Mississippi,NA,2001,219500,Single Family,Owner Occupied - Principal Residence,1580256
1404,New York,NA,2001,120113,Single Family,NA,143627
1376,North Dakota,NA,2001,13512,Single Family,Owner Occupied - Principal Residence,579648
1390,Ohio,NA,2001,87200,Single Family,Owner Occupied - Principal Residence,1124769
